   t            x^2(0)x^2(t)
      2.27500   4495.92627      0.01000
      2.30000   4495.92627      0.01000
      2.32500   4495.92627      0.01000
      2.35000   4495.92627      0.01000
      2.37500   4495.92627      0.01000
      2.40000   4495.92627      0.01000
      2.42500   4495.92627      0.01000
      2.45000   4495.92627      0.01000
      2.47500   4495.92627      0.01000
      2.50000   4495.92627      0.01000
