          tau      x3(tau)     dx3(tau)         dlog
      0.00000      5.83768      0.02289      0.01527      0.07854
      0.05000      5.83322      0.02292      0.04365      0.07892
      0.10000      5.82049      0.02302      0.07045      0.07959
      0.15000      5.79999      0.02316      0.09455      0.08052
      0.20000      5.77257      0.02335      0.11569      0.08167
      0.25000      5.73918      0.02357      0.13405      0.08300
      0.30000      5.70071      0.02382      0.15015      0.08451
      0.35000      5.65792      0.02409      0.16469      0.08617
      0.40000      5.61133      0.02438      0.17833      0.08798
      0.45000      5.56129      0.02468      0.19156      0.08997
      0.50000      5.50803      0.02502      0.20465      0.09213
      0.55000      5.45167      0.02537      0.21758      0.09449
      0.60000      5.39236      0.02576      0.23018      0.09707
      0.65000      5.33030      0.02617      0.24216      0.09987
      0.70000      5.26576      0.02662      0.25323      0.10289
      0.75000      5.19908      0.02709      0.26315      0.10614
      0.80000      5.13068      0.02759      0.27178      0.10960
      0.85000      5.06095      0.02812      0.27910      0.11326
      0.90000      4.99033      0.02866      0.28515      0.11712
      0.95000      4.91918      0.02922      0.29004      0.12114
      1.00000      4.84784      0.02980      0.29390      0.12531
      1.05000      4.77660      0.03038      0.29690      0.12962
      1.10000      4.70570      0.03096      0.29920      0.13405
      1.15000      4.63530      0.03154      0.30086      0.13859
      1.20000      4.56557      0.03212      0.30176      0.14322
      1.25000      4.49669      0.03269      0.30162      0.14793
      1.30000      4.42887      0.03326      0.30007      0.15269
      1.35000      4.36242      0.03381      0.29700      0.15747
      1.40000      4.29764      0.03435      0.29266      0.16225
      1.45000      4.23475      0.03487      0.28768      0.16701
      1.50000      4.17384      0.03536      0.28285      0.17172
      1.55000      4.11481      0.03584      0.27877      0.17639
      1.60000      4.05745      0.03629      0.27565      0.18102
      1.65000      4.00153      0.03672      0.27333      0.18563
