      0.05012    125.00000
      0.15037    871.00000
      0.25062   1620.00000
      0.35087   1676.00000
      0.45112   1191.00000
      0.55137    908.00000
      0.65162    705.00000
      0.75187    595.00000
      0.85212    541.00000
      0.95237    467.00000
      1.05262    472.00000
      1.15287    404.00000
      1.25312    395.00000
      1.35337    318.00000
      1.45362    307.00000
      1.55387    331.00000
      1.65412    263.00000
      1.75437    218.00000
      1.85462    218.00000
      1.95487    194.00000
      2.05512    184.00000
      2.15537    156.00000
      2.25562    156.00000
      2.35587    134.00000
      2.45612    133.00000
      2.55637    116.00000
      2.65662    102.00000
      2.75687    111.00000
      2.85712     85.00000
      2.95737    109.00000
      3.05762     78.00000
      3.15787     78.00000
      3.25812     50.00000
      3.35837     61.00000
      3.45862     59.00000
      3.55887     54.00000
      3.65912     53.00000
      3.75937     48.00000
      3.85962     46.00000
      3.95987    868.00000
